AO,BE
Lech Poznan U18,Lech Poznan U18
Lech Poznan U18 (N),Lech Poznan U18
Legion Dynamo Makhachkala,Legion Dynamo
Leicester City,Leicester
Leones,Leones
Levadia Tallinn,Levadia
Levadia Tallinn (N),Levadia
Leyton Orient,Leyton Orient
Lille (W),Lille W
Lincoln Red Imps,Lincoln Red Imps
Lincoln Red Imps FC,Lincoln Red Imps
Lions Gibraltar,Lions Gibraltar
Llandudno FC,Llandudno
Llanrhaeadr,Llanrhaedr
Llerenense,AD Llerenense
Loja CD,Loja
Loja CD (N),Loja
Lorca FC,Lorca FC
Los Angeles Galaxy,Los Angeles Galaxy
Luch Minsk,Luch Minsk
Lugano,Lugano
Luki Energiya,Luki-Energiya
Lunds BK,Lunds
MC Oran,Oran
MFK Chrudim,Chrudim
MFK Vyskov,Vyskov
MKS Chojniczanka Chojnice,Chojniczanka
MKS Kluczbork,Kluczbork
MKS Znicz Pruszkow,Pruszkow
MTK Hungaria (W),MTK Hungaria W
MZKS Chrobry Glogow,Chrobry Glogow
Maardu Linnameeskond,Maardu
Macara,Macara
Madla,Madla IL
Madura United FC,Madura United
Majees SC,Majees SC
Maria da Fonte,Maria de Fonte
Matera,Matera
Meixian Techand,Meizhou Meixian Techand
Meizhou Hakka,Meizhou Hakka
Meizhou Meixian Techand,Meizhou Meixian Techand
Metaloglobus Bucuresti (N),Metaloglobus
Metz,Metz
Mieszko Gniezno,Mieszko
Mitra Kukar,Mitra Kukar
Monagas Maturin,Monagas
Mons Calpe SC,Mons Calpe
Montevideo Wanderers,Wanderers
Montreal Impact,Montreal Impact
Mornar Bar,Mornar Bar
Motor Lublin,Lublin
Moura AC,Moura AC
NA Hussein Dey,Hussein Dey
ND Beltinci,Beltinci
NK Brda,Brda
NK Domzale,Domzale
NK Drava Ptuj,Drava
NK Krka,NK Krka
NK Rudar Velenje,Rudar
NS Drava Ptuj,Drava
NS Mura,Mura
Naftan Novopolotsk,Naftan
Naxara CD,Naxara
Neftchi Baku,Neftci Baku
Neftekhimik Nizhnekamsk,Neftekhimik
Nei Mongol Zhongyou,Nei Mongol
Nest Sotra,Nest-Sotra
New England Revolution,New England Revolution
New York Red Bulls II,New York Red Bulls 2
Newells Old Boys,Newells Old Boys
Newport County - No. of Corners,Newport
Nojima Stella Kanagawa Sagamihara (W),Nojima Stella W
Nosaby IF,Nosaby IF
Nueva Chicago,Nueva Chicago
Nyiregyhaza Spartacus,Nyiregyhaza
OLS Oulu,OLS Oulu
ONS Oulu (W),ONS Oulu W
Olbia,Olbia
Olympique Safi,Olympique de Safi
Olympique de Medea,Medea
Oppsal,Oppsal
Ordabasy,Ordabasy
Ordizia KE,Ordizia
Orihuela CF,Orihuela
Orleta Radzyn Podlaski,Orleta Radzyn
Orn Horten,Orn
Oskarshamns AIK,Oskarshamns
Ostsiden IL,Ostsiden
Ottawa Fury FC,Ottawa Fury
Ottestad,Ottestad
PFC Montana,Montana
PSM Makassar,PSM Makassar
PSMS Medan,PSMS Medan
Pallokissat (W),Pallokissat Kuopio W
Panathinaikos,Panathinaikos
Parana,Parana
Pardubice U19,FK Pardubice U19
Paris FC (W),Paris FC W
Parma Calcio,Parma
Pasaquina,Pasaquina
Pau,Pau
Paysandu,Paysandu PA
Paysandu PA,Paysandu PA
Pelikan Lowicz,Pelikan
Penarol Montevideo,Penarol
Perseru Serui,Perseru Serui
Persib Bandung (N),Persib Bandung
Phoenix Rising,Phoenix Rising
Pianese,Pianese
Pisa,Pisa
Pitea IF (W),Pitea W
Plaza Amador,Plaza Amador
Pniowek Pawlowice Slaskie,Pniowek
Podlasie Biala Podlaska,Biala Podlaska
Point Fortin Civic FC,Point Fortin
Police FC (TT),Police
Politehnica Timisoara,Politehnica Timisoara
Ponferradina,Ponferradina
Ponsacco,Ponsacco
Port FC,Port MTI FC
Portimonense,Portimonense
Portland Thorns (W),Portland Thorns W
Portmore United,Portmore
Potros UAEM,UAEM Potros
Prachuap FC,Prachuap
Qatar SC (N),Qatar SC
Queretaro FC U20,Queretaro
Quilmes AC,Quilmes
RS Berkane,Berkane
Ramon Santamarina,Santamarina
Rangers De Talca,Rangers
Rapperswil Jona,Rapperswil
Raufoss IL,Raufoss
Rayo Majadahonda,Rayo Majadahonda
Rayo Vallecano,Rayo Vallecano
Real Avila CF,Real Avila
Real Espana,Real Espana
Real Jaen,Jaen
Real Murcia Imperial,Real Murcia B
Real Salt Lake,Real Salt Lake
Real Valladolid,Valladolid
Reichenau,Reichenau
Reims,Reims
Richards Bay,Richards Bay
River Melilla CF,River Melilla
Rostov FK U21,FK Rostov U21
Royal Charleroi SC,Charleroi
Royal Excel Mouscron,Mouscron
Royal Pari,Royal Pari
Royal Thai Navy,Thai Navy
Ruch Radzionkow,Radzionkow
Rudar Pljevlja,Rudar
Rynninge IK,Rynninge
SC Cham,Cham
SC Dnipro 1,Dnipro-1
SC Internacional RS,Internacional
SC Kriens,Kriens
SC Paderborn 07,Paderborn
SC YF Juventus,YF Juventus
SCD Durango,Durango
SD Almazan,Almazan
SD Aucas,Aucas
SD Eibar,Eibar
SD Ejea,Ejea
SD Oyonesa,Oyonesa
SD Revilla,Revilla
SK Austria Klagenfurt,A. Klagenfurt
SK Benesov,Benesov
SK Herd,Herd
SK Odeva Lipany,Lipany
SK Sturm Graz Am,Sturm Graz (Am)
SK Zapy,Zapy
SKA Rostov On Don,SKA Rostov
SKA Rostov-on-Don,SKA Rostov
SO Cholet,Cholet
SSV Jahn Regensburg,Regensburg
STK 1914 Samorin,Samorin
SV Seekirchen,Seekirchen
Sabah Baku,Sabah Baku
Sabail,Sabail
Sampdoria,Sampdoria
San Antonio,San Antonio
San Cristobal,San Cristobal CP
San Jose Earthquakes,San Jose Earthquakes
San Luis Quillota,San Luis
San Marcos Arica,San Marcos de Arica
San Martin de Burzaco,San Martin Burzaco
San Roque de Lepe,San Roque
Sansinena,Sansinena
Santa Tecla,Santa Tecla
Santfeliuenc FC,Santfeliuenc
Santos,Santos
Santos SP,Santos
Sarajevo,FK Sarajevo
Sarmiento de Resistencia,Sarmiento Resistencia
Sassuolo ,Sassuolo
Seattle Reign (W),Seattle Reign W
Seattle Sounders,Seattle Sounders
Servette,Servette Geneve FC
Sevilla FC III,Sevilla FC C
Shaanxi Changan Athletic,Shaanxi Changan
Shabab Al Ordon (JOR),Shabab Al Ordon
Shabab Al Ordon (N),Shabab Al Ordon
Shabab Alsamu,Shabab Alsamu
Shakhtyor Soligorsk,Shakhtyor Soligorsk
Shandong Luneng,Shandong Luneng
Shanghai Shenhua,Shanghai Shenhua
Shenzhen Ledman Renren,Shenzhen Ledman
Sibir Novosibirsk 2,Sibir 2
Siroki Brijeg,Siroki Brijeg
Skeid,Skeid
Skiljebo SK,Skiljebo
Skive,Skive
Slavia Sofia,Slavia Sofia
Slovan Liberec (W),Liberec W
Sokol Saratov,Saratov
Sokol Sieniawa,Sokol Sieniawa
Solvesborgs GoIF,Solvesborgs
Sonsonate FC,Sonsonate
Spezia,Spezia
Sporting de Huelva (W),Huelva W
Sportivo Barracas (N),Sportivo Barracas
Sportivo Italiano,Sportivo Italiano
Sriwijaya,Sriwijaya
St Polten (Am),St. Polten (Am)
St. Pauli,St. Pauli
Stabaek 2,Stabaek 2
Stallion FC,Stallion
Steinkjer Fk,Steinkjer
Stellenbosch,Stellenbosch
Sumy,Sumy
Sutton United,Sutton
Suzhou Dongwu,Suzhou Dongwu
Swit Nowy Dwor Mazowiecki,Swit
TJ Sokol Zivanice,Zivanice
TPS Turku (W),TPS W
TS Sokol Aleksandrow Lodzki,Sokol Aleksandrow L.
Talleres Cordoba,Talleres Cordoba
Tampico Madero,Tampico Madero
Tartu JK Welco,Tartu Welco
Telstar,Telstar
Tertnes Fotball,Tertnes
Thes Sport Tessenderlo,Thes Sport
Thisted,Thisted FC
Tianjin Teda,Tianjin Teda
Tobol Kostanay,Tobol
Torns IF,Torns
Torpedo Vladimir,Vladimir
Triglav Kranj,Triglav
Tromsdalen,Tromsdalen
Trujillanos FC,Trujillanos
Tsarsko Selo,Tsarsko Selo
Tus Bad Gleichenberg,Bad Gleichenberg
Twente Enschede,Twente
UA Horta,Horta
UCAM Murcia B,UCAM Murcia B
UCAM Murcia CF,UCAM Murcia
UD San Fernando,San Fernando
UD San Sebastian Reyes,San Sebastian Reyes
UE Sant Andreu,Sant Andreu
UMF Grindavik,Grindavik
US Quevilly Rouen,Quevilly Rouen
US Tataouine,US Tataouine
USC Landhaus Austria Wien (W),Landhaus W
Ubon UMT United,Ubon
Ubuntu Cape Town,Ubuntu Cape Town
Ufa U21,Ufa U21
Ullern,Ullern
Ullern Fc,Ullern
Umea,Umea FC
Umm Salal,Umm-Salal
Unia Skierniewice,Skierniewice
Union Comercio,Union Comercio
Union Huaral,Huaral
Union Viera CF,Union Viera
Union de Santa Fe,Union de Santa Fe
Unionistas De Salamanca,Unionistas
Universidad Cesar Vallejo,Cesar Vallejo
Ural Sverdlovsk Oblast U21,Ural U21
Urawa Red Diamonds (W),Urawa W
Usti nad Labem,Usti nad Labem
V-Varen Nagasaki,V-Varen Nagasaki
VV Alkmaar (W),VV Alkmaar W
Vaduz,Vaduz
Valbo FF,Valbo FF
Valencia,Valencia
Valur Reykjavik,Valur
Vanersborgs IF,Vanersborgs IF
Vanlose,Vanlose
Varbergs BoIS FC,Varbergs
Vasco Da Gama RJ (N),Vasco
Velarde CF,Velarde
Velez Sarsfield,Velez Sarsfield
Vereya Stara Zagora,Vereya
Verona,Verona
Vestfossen,Vestfossen
Vfb Hohenems,Hohenems
Viareggio,Viareggio
Vihiga United,Vihiga United
Viljandi JK Tulevik,Tulevik
Villa Dalmine,Villa Dalmine
Villarreal,Villarreal
Virtus Entella,Entella
Vitesse,Vitesse
Vitoria Guimaraes,Guimaraes
Voluntari,Voluntari
Wacker Innsbruck (W),Wacker Innsbruck W
Wadi Degla (N),Wadi Degla
Walter Ferretti,Ferretti
Waterhouse,Waterhouse
Wisla Krakow U18,Wisla U18
Wislanie Jaskowice,Wislanie Jaskowice
Wohlen,Wohlen
Wolfsberger AC,AC Wolfsberger
Wuhan Zall,Wuhan Zall
Yaracuy,Yaracuy
Yenisey Krasnoyarsk U21,Yenisey U21
Yokohama FC,Yokohama
Yuen Long,Yuen Long
Yupanqui (N),Yupanqui
Zalaegerszegi TE,Zalaegerszegi
Zamora Barinas,Zamora
Zhenjiang Huasa,Zhenjiang Huasa
Zhetysu Taldykorgan,Zhetysu Taldykorgan
Zlin U19,FC Fastav Zlin U19
Znamya Truda Orekhovo Zuyevo,Znamya Truda
Znicz Biala Piska,Biala Piska
Zorya Luhansk,FK Zorya Luhansk
Zulia Maracaibo,Zulia
Zvezda Perm,FC Zvezda Perm
AC Bellinzona,Bellinzona
AD Carmelita,Carmelita
AFK Linkoping,AFK Linkopings
AJ Auxerre,Auxerre
ATK Kolkata,ATK
AZS UJ Krakow (W),UJ Krakow W
AaB Aalborg,Aalborg
Admira Wacker Modling Juniors,Admira (Am)
Aguilas,Aguilas
Air Force Central,Air Force Central
Ajax Cape Town,Ajax Cape Town
Akropolis IF,Akropolis
Akzhayik Oral,FK Akzhayik
Al Ahli Jeddah,Al Ahli SC
Al Baqaa,Al Buqaa
Al Faisaly Harmah,Al-Faisaly
Al Ittihad Jeddah,Al-Ittihad FC
Al Ittihad Kalba,Ittihad Kalba
Al Oruba Sur,Al Oruba
Al Qadsia,Al Qadisiya
Al Rayyan,Al Rayyan
Al Shabab Oman,Shabab Al-Dhahiriya
Alfredo Salinas,Alfredo Salinas
Algeciras,Algeciras
Alianza Lima,Alianza Lima
Almere City,Almere City
Alta If,Alta
Anzhi Makhachkala,FK Anzi Makhackala
Arab Contractors,Arab Contractors
Argentinos Juniors,Argentinos Jrs
Asane Fotball U19,Asane U19
Assyriska IK,Assyriska IK
Athletic Bilbao,Ath Bilbao
Atletico Bembibre,Bembibre
Atletico Levante UD,Levante B
Atletico Madrid B,Atl. Madrid B
Atletico Sanluqueno,Sanluqueno
Austria Klagenfurt,A. Klagenfurt
BK Forward,Forward
Balmazujvarosi FC,Balmazujvaros Sport
Bangkok United,Bangkok Utd
Banik Ostrava U19,Ostrava U19
Baroka,Baroka
Black Leopards,Black Leopards
Blooming,Blooming
Bourg en Bresse Peronnas 01,Bourg Peronnas
Brescia,Brescia
Bruk Bet Termalica Nieciecza,Termalica B-B.
Bryne,Bryne
Budaiya (N),Al-Budaiya
CD Alcoyano,Alcoyano
CD El Ejido,El Ejido
CD Guadalajara,Guadalajara
CD Lealtad,Lealtad
CD Llosetense,Llosetense
CD Lugo,Lugo
CD Madridejos,Madridejos
CD Vicalvaro,Vicalvaro
CF Calamocha,Calamocha
CF Fuenlabrada,Fuenlabrada
CF La Solana,La Solana
CF Villanovense,Villanovense
CSD Flandria,Flandria
Cartagena,Cartagena
Cerezo Osaka,C-Osaka
Cerezo Osaka Sakai (W),C-Osaka W
Chaco For Ever,Chaco For Ever
Charlton Athletic,Charlton
Chertanovo Moscow II,Chertanovo M. 2
Chrobry Glogow,Chrobry Glogow
Club Atletico Talleres,Talleres (R.E)
Club Deportivo Arabe Unido,Arabe Unido
Club Sportivo Barracas,Sportivo Barracas
Connahs Quay Nomads,Connahs Q.
Csakvar,Csakvari
DFK Dainava,Dainava Alytus
De Graafschap,Graafschap
De Graafschap Doetinchem (R),Jong De Graafschap
Deportivo Capiata,Dep. Capiata
Desna Chernihiv,Desna
Dijon,Dijon
Dinamo Brest,Brest
Dinamo Minsk,Din. Minsk
Dinamo Tbilisi (N),Dinamo Tbilisi
Dnepr Mogilev,Dnepr Mogilev
Dordrecht (R),Jong Dordrecht
Dukla Praha,Dukla Prague
EIF Ekenas,Ekenas
El Gouna FC,El Gounah
Elfsborg,Elfsborg
FC Ararat Armenia,Ararat-Armenia
FC Cartagena B,Cartagena B
FC Fredericia,Fredericia
FC Gifu,Gifu
FC Hlucin,Hlucin
FC Krasnodar III,Krasnodar 3
FC Kuressaare,Kuressaare
FC Mariupol U21,Mariupol U21
FC Odra Petrkovice,Odra Petrkovice
FC Prykarpattia,Prykarpattya
FC Red Star Zurich,Red Star Zurich
FC Rustavi,Rustavi
FC Vitebsk,Vitebsk
FK Chertanovo II,Chertanovo M. 2
FK Dainava Alytus,Dainava Alytus
FK Pardubice,FK Pardubice
FK Sindelic Beograd,Sindjelic Beograd
FLC Thanh Hoa,Thanh Hoa
Farul Constanta,F. Constanta
Farul Constanta (N),F. Constanta
Ferencvarosi TC (W),Ferencvaros W
Fredericia,Fredericia
Frosinone,Frosinone
Gd Mirandes,Mirandes
Gefle IF,Gefle
Getafe B,Getafe B
Gimnasia La Plata,Gimnasia L.P.
Gimnasia Y Tiro,Gimnasia y Tiro
Girondins Bordeaux II,Bordeaux II
Guangzhou RF,Guangzhou R&F
Hannover 96,Hannover
Hansa Rostock,Hansa Rostock
Hapoel Akko,H. Akko
Hapoel Iksal Imad,Hapoel Iksal Imad
Hapoel Raanana,H. Raanana
Heracles Almelo,Heracles
Heracles Almelo (R),Jong Heracles
Hermannstadt,FC Hermannstadt
Hlucin,Hlucin
Honka Espoo (W),Honka W
IFK Hassleholm,IFK Hassleholm
Ik Frej,Frej
Irtysh Pavlodar,I. Pavlodar
Ismaily SC,El Ismaily
JK Tallinna Kalev III,Tallinna Kalev U21
Jabal Al Mukaber,Jabal Al Mukaber
Jadran Dekani,Jadran Dekani
Juventud Unida De Gualeguaychu,CDJU Gualeguaychu
KaPa,KaPa
Kairat Almaty,K. Almaty
Karlovy Vary,Karlovy Vary
Kazincbarcika BSC,Kazincbarcikai
Khimki II,Khimki 2
Krasnodar III,Krasnodar 3
Kristianstads DFF (W),Kristianstads W
LHospitalet,L Hospitalet
LR Vicenza Virtus,L.R. Vicenza
Leones Negros,Leones Negros
Levanger FK B,Levanger 2
Libertad Asuncion,Libertad Asuncion
Lille OSC II,Lille II
Ljungskile,Ljungskile
Llaneros SA,Llaneros
Lokomotiv Oslo,Lokomotiv Oslo
Lokomotiv Tashkent,Lok. Tashkent
Lovcen Cetinje,Lovcen
Lyon,Lyon
MFK Ruzomberok,Ruzomberok
Malaga (W),Malaga W
Mashuk KMV Pyatigorsk,Mashuk
Minsk,FC Minsk
Misr Lel Makasa (N),Misr Elmaqasah
Mjallby,Mjallby
Molde FK B,Molde 2
Molde FK II,Molde 2
Montpellier,Montpellier
NAC Breda (R),Jong NAC Breda
NEC Nijmegen (R),Jong Nijmegen
NJS Nurmijarvi,NJS
NK Osijek II,Osijek 2
NK Zadar,Zadar
Nakhon Ratchasima,Nakhon Ratchasima
Nantong Zhiyun,Nantong Zhiyun
Norwich City,Norwich
Oleksandria U21,Oleksandriya U21
Oxford United,Oxford Utd
PAS Lamia,Lamia
Pacos de Ferreira,Ferreira
Paris Saint Germain (W),Paris SG W
Pars Jonoubi Jam,Pars Janoobi Jam
Pattaya United,Pattaya Utd
Pittsburgh Riverhounds,Pittsburgh
Ponte Preta SP,Ponte Preta
Proleter Novi Sad,Proleter
Puskas Akademia,Puskas Academy
Pyunik (N),Pyunik Yerevan
Rakvere JK Tarvas,Rakvere
Rayo Vallecano B,Rayo Vallecano B
Real Monarchs,Real Monarchs
Real Sociedad III,Real Sociedad C
Rotor Volgograd II,R. Volgograd 2
SD Zamudio,Zamudio
SK Lisen,Lisen
SKU Amstetten,Amstetten
Salernitana,Salernitana
Santiago Morning,S. Morning
Santos de Guapiles (N),Santos DG
Santutxu FC,Santuxu
Schiltigheim,Schiltigheim
Sepahan,Sepahan
Sestao River Club,Sestao
Silva SD,Silva SD
Slask Wroclaw U18,Slask U18
Sloboda Tuzla,Sloboda
Sogndal,Sogndal
Sohar SC,Sohar
Southend United,Southend
St Anns Rangers (N),S.A. Rangers
St Joseph`s FC,St Josephs
Stabaek II,Stabaek 2
Stal Stalowa Wola,S. Wola
Strommen IF,Strommen
Stumbras B,Stumbras 2
Suduva Marijampole,Suduva
Sumgayit,SumQayit
Sydvest 05 Tonder,Sydvest
TP 47,TP-47
Tours,Tours
Trapani,Trapani
Trujillanos,Trujillanos
UD Ibiza,UD Ibiza-Eivissa
UD Logrones,UD Logrones
US Arezzo,Arezzo
US Endoume Marseille,Marseille Endoume
USL Dunkerque,Dunkerque
Universidad Catolica del Ecuador,U. Catolica
Universitario Sucre,U. Sucre
Urawa Red Diamonds,Urawa
VC Eendracht Aalst 2002,Aalst
VIFK Vaasa,VIFK
Vac,Vac
Vac FC,Vac
Velke Mezirici,Velke Mezirici
Viking,Viking
Vikingur Olafsvik,Olafsvik
Villarreal C,Villarreal C
Vojvodina Novi Sad,Vojvodina
Willem II Tilburg (R),Jong Willem II
Wisla Krakow,Wisla
Yague CF,Yague
Yeclano Deportivo,Yeclano
Zamudio SD,Zamudio
Znicz Pruszkow,Pruszkow
ADO Den Haag (R),Jong Den Haag
AEK Larnaca,AEK Larnaca
AS Saint Etienne,St Etienne
Al Baten,Al Batin
Al Kawkab,Al-Kawkab
Al Najma Manama (N),Al-Najma
Al Salmiyah,Al Salmiya
Al Shabab Al Ahmadi,Al Shabab
Al Tai,Al Taee
Amiens,Amiens
Arsenal Kyiv,Arsenal Kiev
Atletico Baleares,Baleares
Atletico Cali,Atletico F.C.
Atletico Paranaense,Atletico-PR
Austria Wien,Austria Vienna
Bala Town,Bala
Balmazujvarosi,Balmazujvaros Sport
Banfield,Banfield
Basaksehir,Basaksehir
Baztan,CD Baztan
Botev Plovdiv,Botev Plovdiv
Brattvag IL,Brattvag
Bromley FC,Bromley
Burgos Promesas 2000,Burgos Promesas
CA Huracan Las Heras,Huracan Las Heras
CA San Miguel (N),San Miguel
CD Azuqueca,Azuqueca
CD Castellon,Castellon
CD Cieza,Ciudad Cieza
CD Ibiza Islas Pitiusas,Ibiza Islas Pitiusas
CD Mostoles URJC,CD Mostoles
CF Lorca Deportiva,Lorca Deportiva
CF Rayo Majadahonda,Rayo Majadahonda
CSKA Moscow U21,CSKA Moscow U21
CSKA Sofia,CSKA Sofia
Chainat FC,Chainat
Chelyabinsk,Chelyabinsk
Chemelil Sugar,Chemelil
Chippa United,Chippa Utd.
Club Atletico Torque (N),CA Torque
Cultural Leonesa,Leonesa
Defence Force FC (N),Defence Force
Deportivo Chiantla (N),Deportivo Chiantla
EC Granollers,Granollers
Esperance Tunis,Esperance Tunis
Espoo,Espoo
Estudiantes De Caracas,Estudiantes Caracas
Etar Veliko Tarnovo,Etar
FC Emmen (R),Jong FC Emmen
FC Tokyo,FC Tokyo
FK Koralas Klaipeda,Koralas Klaipeda
FK Tatran Liptovsky Mikulas,L. Mikulas
Feyenoord (R),Jong Feyenoord
GBK Kokkola,GBK Kokkola
Gimnastic,Gimnastic
Grbalj Radanovici,Grbalj
Guillermo Brown,Guillermo Brown
Hanacka Slavia Kromeriz,Kromeriz
Helsingor,Helsingor
IK Sirius,Sirius
IL Sandviken Bergen (W),Sandviken W
Jammerbugt Fc,Jammerbugt
Jong Ajax Amsterdam,Jong Ajax
Jumilla,Jumilla
KS SKRA Czestochowa,Skra
Kapfenberger SV,Kapfenberg
Kfum Oslo,K. Oslo
Kjelsas Fotball,Kjelsas
Klepp (W),Klepp W
Kolbotn (W),Kolbotn W
Kufstein,Kufstein
Lleida Esportiu,Lleida
Lokomotiv Moscow U21,Lokomotiv Moscow U21
Marbella FC,Marbella
Mineros De Guayana,Mineros
Montevarchi,Montevarchi Calcio
Muharraq Club,Al-Muharraq
NK Lucko,Lucko
Naestved,Naestved
Nassaji Mazandaran,Nassaji Mazandaran
New York City FC,New York City
OGC Nice II,Nice II
PK 35 Vantaa (W),PK-35 Vantaa W
Padova,Padova
Palestino,Palestino
Persebaya Surabaya,Persebaya
Pieta Hotspurs,Pieta Hotspurs
Pogon Siedlce,Pogon Siedlce
QNK Quang Nam FC,BHTS Quang Nam
Racing de Ferrol,Ferrol
Rangers de Talca,Rangers
Rapid Vienna Ii,SK Rapid Vienna (Am)
Real Balompedica Linense,Linense
Real Murcia,Murcia
Rekord Bielsko Biala,Bielsko-Biala
Reno 1868,Reno
Rodez Aveyron (W),Rodez W
Rozwoj Katowice,Rozwoj Katowice
SC Praiense,SC Praiense
SCR Altach AM,Altach (Am)
SM Caen,Caen
San Jorge Tucuman,San Jorge
San Jose Oruro,San Jose
Sanna Khanh Hoa BVN,Khanh Hoa
Santa Tecla FC,Santa Tecla
Shamrock Rovers,Shamrock Rovers
Shelbourne,Shelbourne
Slagelse Boldklub IF,Slagelse B&I
Slask Wroclaw,Slask Wroclaw
Spartak Moscow,Spartak Moscow
Sportivo Desamparados,Desamparados
Strogino Moscow,FK Strogino Moscow
Stromsgodset,Stromsgodset
Supersport United,Supersport Utd
TJ Jiskra Domazlice,Domazlice
UD Melilla,Melilla
UMF Njardvik,Njardvik
Valledupar,Valledupar
Vanlose IF,Vanlose
Vard Haugesund,V. Haugesund
Villa Santa Brigida,Villa Santa Brigida
Vozdovac Belgrade,FK Vozdovac
Yeni Malatyaspor,Yeni Malatyaspor
Zhejiang Yiteng,Zhejiang Yiteng
AC Renate,Renate
AD Almudevar,Almudevar
ADO Den Haag (W),Den Haag W
ASD Calcio Cittanovese,Cittanovese
ASD Team Altamura,Altamura
ASF Andrezieux,Andrezieux
ASK BSC Bruck Leitha,Bruck Leitha
AZS PSW Biala Podlaska (W),Biala Podlaska W
Admira Juniors,Admira (Am)
Afan Lido,Afan Lido
Albirex Niigata (W),Albirex Niigata W
Almeria B,Almeria B
Alta,Alta
Arema,Arema FC
Argentino De Rosario,Argentino de Rosario
Arnett Gardens,Arnett Gardens
Asco,Asco
Assyriska BK,Assyriska BK
Astana,FC Astana
Athletic Bilbao (W),Athletic Bilbao W
Atletico Bucaramanga,Bucaramanga
Atletico Madrid (W),Atl. Madrid W
Atletico Mancha Real,Mancha
Atletico Union De Guimar,Atletico Union Guimar
Atyrau,Atyrau
Atzeneta UE,Atzeneta
Auckland City,Auckland City
Aurora Pro Patria,Pro Patria
B93 Copenhagen (W),B93 W
Badajoz,CD Badajoz
Bahia BA (N),Bahia
Barakaldo,Barakaldo
Basel II,Basel II
Beti Kozkor KE,Beti Kozkor
Betis Deportivo,Betis B
Betis Deportivo Balompie,Betis B
Borneo,Pusamania Borneo
CA Barracas Central,Barracas Central
CA Pinto,Atletico Pinto
CA Racing Cordoba,Racing Cordoba
CD Arenteiro,Arenteiro
CD Atletico Tordesillas,Atl. Tordesillas
CD Avance Ezcabarte,Ezcabarte
CD Basconia,Basconia
CD Beti Onak,Beti Onak
CD Corellano,CD Corellano
CD Cortes,Cortes
CD Diocesano,Diocesano
CD Eldense,Eldense
CD La Serena,La Serena
CD Llanes,Llanes
CD Manchego Ciudad Real,Ciudad Real
CD Motagua,Motagua
CD Olimpia (N),Olimpia
CD Pamplona,Pamplona
CD San Ignacio,San Ignacio
CD San Roque De Lepe,San Roque
CD Vitoria,CD Vitoria
CDF Tres Cantos,Tres Cantos
CE Sabadell FC,Sabadell
CF La Nucia,La Nucia
CF Talavera de la Reina,CF Talavera
CF Trival Valderas Alcorcon,Trival Valderas
CSD Municipal,Municipal
Ca Fenix,Fenix
Cavese,Cavese
Centro Espanol (N),CSR Espanol
Cercle Brugge,Cercle Brugge KSV
Chiangrai United,Chiangrai Utd
Cienciano,Cienciano
Conquense,Conquense
Cordoba CF B,Cordoba B
Defensores De Belgrano Villa Ramallo,Defensores Belgrano VR
Defensores De Cambaceres,Def. de Cambaceres
Deportivo Espanol (N),Deportivo Espanol
Deutschlandsberger SC,Deutschlandsberger
Dila Gori,Dila Gori
Don Benito,Don Benito
Doncaster Rovers,Doncaster
Dornbirn,Dornbirn
Egersunds,Egersunds
Eidsvold Turn,Eidsvold
El Entag El Harby (N),El-Entag El-Harby
Elche,Elche
Elverum Fotball,Elverum
Esperance ST,Esperance Tunis
Everton Vina del Mar,Everton
Excelsior SBV (R),Jong Excelsior
FC Bavois,Bavois
FC Chelyabinsk,Chelyabinsk
FC Chindia Targoviste,Chindia Targoviste
FC Jumilla,Jumilla
FC Kosova Zurich,Kosova
FC Pisek,Pisek
FC Rinconeda Polanco,Rinconeda Polanco
FC Sumy,Sumy
FC Vysocina Jihlava U19,Jihlava U19
FC Zbrojovka Brno U19,Brno U19
FK Botev Galabovo,Botev Galabovo
FK Karlskrona,Karlskrona
FK Kvant Obninsk,Kvant
FK Mlada Boleslav U19,Mlada Boleslav U19
FK Salyut,Salyut-Belgorod
FK Senica,Senica
FUS Rabat,FUS Rabat
Flamengo RJ,Flamengo RJ
Fleury 91 (W),Fleury 91 W
Gamla Upsala SK,Upsala
Gimnastica Segoviana CF,G. Segoviana
Goias (N),Goias
Gornik Zabrze U18,Gornik Z. U18
Grand Bodo IK (W),Grand Bodo W
HK Kopavogur,Kopavogur
Hainan,Hainan Boying
Halifax Town,Halifax
Halmstads BK,Halmstad
Hittarps IK,Hittarps
Hodd IL II,Hodd 2
IFK Norrkoping,Norrkoping
Instituto De Cordoba,Instituto
Jagiellonia Bialystok,Jagiellonia
Jilin Baijia,Jilin Baijia
Jocoro (N),Jocoro
Juan Aurich (N),Juan Aurich
Kazincbarcika SC,Kazincbarcikai
Kvik Halden,Halden
La Roda CF,La Roda
Lorca,Lorca FC
Luch Energia Vladivostok,Luch
Luton Town,Luton
Lyon Duchere,Lyon Duchere
MFK Tatran Liptovsky Mikulas,L. Mikulas
MKS Swit Nowy Dwor Mazowiecki,Swit
Madrid CCF (W),Madrid C. W
Malacateco,Malacateco
Manchester City,Manchester City
Marseille,Marseille
Metta Latvijas Universitate (N),Metta/LU
Mirandes,Mirandes
Monza,Monza
Nacional da Madeira,Nacional
Nykopings BIS,Nykopings
Olimpia Szczecin (W),Mks Olimpia Szczecin W
Olimpia Zambrow,Zambrow
Orange County SC,Orange County SC
